ticker,episode_id,start_time,end_time,duration,direction,total_return,pullback_pct,lr_slope_5,lr_slope_5_norm,avg_volume,max_volume,avg_rsi,avg_volatility,obv_change,avg_vwap,price_start,price_end,price_delta,rsi_start,rsi_end,vwap_start,vwap_end,obv_start,obv_end,ema_start,ema_end,bb_upper_start,bb_upper_end,bb_middle_start,bb_middle_end,bb_lower_start,bb_lower_end,cluster,regime_label
NVDA,NVDA_2024-08-19T04:00:00_2024-09-06T04:00:00,2024-08-19T04:00:00,2024-09-06T04:00:00,14,down,-0.20899999999999996,,-2.1181098901098903,-0.01629315300084531,358272386.0714286,477155100,59.067251986573304,0.05198613740923475,-1647778316,298.1692544423344,130,102.83,-27.17,68.62328087338722,30.437128980032398,308.6623100049768,286.9225204207134,1681044063,33265747,117.11687509677495,115.02672054483118,128.80981698470686,136.8998792901839,112.25050000000002,118.7935,95.69118301529319,100.6871207098161,0,Deep Downtrend regime
NVDA,NVDA_2024-09-06T04:00:00_2024-11-07T05:00:00,2024-09-06T04:00:00,2024-11-07T05:00:00,45,up,0.44782650977341243,,0.8258392621870883,0.008031112148080213,261100007.95555556,441422370,59.52681694445686,0.03317613440039031,3506942782,266.3392472809285,102.83,148.88,46.05,30.437128980032398,64.24083769633508,286.9225204207134,252.468989700951,33265747,3540208529,115.02672054483118,139.78965959266452,136.8998792901839,147.5592330338852,118.7935,139.18225,100.6871207098161,130.80526696611483,1,Strong Uptrend regime
NVDA,NVDA_2024-08-26T10:15:00_2024-09-06T15:45:00,2024-08-26T10:15:00,2024-09-06T15:45:00,535,down,-0.22335370511841102,,-0.053735830785168956,-0.00041051054839701264,6062832.177570093,53583110,45.170522055583625,0.007153279710349535,-138758773,119.74695657639545,130.9,101.663,-29.23700000000001,88.43062393248269,31.08129677579538,118.94195102720667,117.98068079251615,526530887,387772114,130.28461564627435,103.71616038597794,131.1939412762011,108.919414867253,129.94998500000003,104.903505,128.70602872379897,100.887595132747,0,Deep Downtrend regime
NVDA,NVDA_2024-09-06T15:45:00_2024-11-08T09:00:00,2024-09-06T15:45:00,2024-11-08T09:00:00,2850,up,0.47418431484414203,,0.013037143829050146,0.0001282388266040757,4051226.980350877,110385282,52.81846450717771,0.004112229597457564,359991850,119.03364941270088,101.663,149.87,48.20700000000001,31.08129677579538,93.70078740157597,117.98068079251615,123.54040729832239,387772114,747763964,103.71616038597794,149.10961099498576,108.919414867253,149.6537697723183,104.903505,148.93675999999996,100.887595132747,148.21975022768163,1,Strong Uptrend regime
NVDA,NVDA_2023-11-21T00:00:00_2023-12-05T10:00:00,2023-11-21T00:00:00,2023-12-05T10:00:00,144,down,-0.10856622955359085,,-0.2770502441523993,-0.0005479741374481286,2963414.2916666665,19216067,43.07809610279822,0.007516592897329812,-168584139,447.9702731088072,505.59,450.7,-54.889999999999986,82.73263433813891,27.537465940054545,443.5438450417234,450.0020062934567,120660802,-47923337,501.3727101010611,454.98759047794385,507.5731379172497,469.13358900202445,498.5499500000001,457.506,489.52676208275045,445.8784109979755,2,Moderate/Sideways regime
NVDA,NVDA_2023-12-05T10:00:00_2024-03-08T14:00:00,2023-12-05T10:00:00,2024-03-08T14:00:00,1029,up,1.1234672731306858,,0.4210045479661833,0.0009341125981055764,2945081.4178814385,24200561,59.285168872923826,0.008111846409721573,456861258,482.655295838354,450.7,957.0467,506.3467,27.537465940054545,79.59515202674488,450.0020062934567,554.3600069926832,-47923337,408937921,454.98759047794385,940.0214563256133,469.13358900202445,968.5006079452232,457.506,930.2021200000001,445.8784109979755,891.9036320547771,2,Moderate/Sideways regime
NVDA,NVDA_2024-03-08T14:00:00_2024-03-09T00:00:00,2024-03-08T14:00:00,2024-03-09T00:00:00,11,down,-0.11080619158918781,,-9.235393636363638,-0.009649888178250484,10081594.727272727,30069248,37.00387865977488,0.024647539051759756,-78330832,558.7499277418484,957.0467,851,-106.04669999999999,79.59515202674488,16.387504335524838,554.3600069926832,560.5367888092293,408937921,330607089,940.0214563256133,888.0497045818942,968.5006079452232,992.1929217576239,930.2021200000001,913.5418700000002,891.9036320547771,834.8908182423766,2,Moderate/Sideways regime
NVDA,NVDA_2024-03-09T00:00:00_2024-03-25T18:00:00,2024-03-09T00:00:00,2024-03-25T18:00:00,172,up,0.13043478260869557,,0.31292878263679086,0.0003677188985156179,3816906.1744186045,13860633,54.186007242144136,0.012768787528735871,175243858,579.1977704607649,851,962,111,16.387504335524838,65.28627015008342,560.5367888092293,596.6204799228647,330607089,505850947,888.0497045818942,950.1602313291224,992.1929217576239,962.5128986778091,913.5418700000002,947.6186799999999,834.8908182423766,932.7244613221908,2,Moderate/Sideways regime
NVDA,NVDA_2024-03-25T18:00:00_2024-04-19T23:00:00,2024-03-25T18:00:00,2024-04-19T23:00:00,294,down,-0.21035343035343035,,-0.302049507415623,-0.000313980776939317,2883226.068027211,20026024,46.1624081537519,0.009155655006252976,-177798812,614.7867079667974,962,759.64,-202.36,65.28627015008342,15.040166617078285,596.6204799228647,630.2971936817606,505850947,328052135,950.1602313291224,790.9346734206176,962.5128986778091,882.3043458830098,947.6186799999999,812.7022750000001,932.7244613221908,743.1002041169904,2,Moderate/Sideways regime
NVDA,NVDA_2024-04-19T23:00:00_2024-06-06T11:00:00,2024-04-19T23:00:00,2024-06-06T11:00:00,517,up,0.6395924385235112,,0.7399442501939533,0.000974072258166965,2764998.847195358,18204635,59.11395863959318,0.009859909816423516,224002187,653.3398816665375,759.64,1245.5,485.86,15.040166617078285,85.10182207931416,630.2971936817606,686.8678287968113,328052135,552054322,790.9346734206176,1224.5051923503192,882.3043458830098,1260.579785931547,812.7022750000001,1212.4081449999999,743.1002041169904,1164.2365040684529,2,Moderate/Sideways regime
